Quantiles,Method,AverageLoss,lower_CI,upper_CI
0.005,QRF,0.1207029,,
0.025,QRF,0.5130691,,
0.05,QRF,0.9459532,,
0.5,QRF,5.4826923,,
0.95,QRF,2.4579784,,
0.975,QRF,2.0077256,,
0.995,QRF,1.0515225,,
0.005,LQR,0.5494562,0.2468587,0.9286419
0.025,LQR,0.8489838,0.5501811,1.2258595
0.05,LQR,1.2233933,0.8936719,1.5482966
0.5,LQR,6.3399763,5.5955484,7.0243436
0.95,LQR,2.908402,1.6762671,4.1474154
0.975,LQR,2.373326,1.161829,3.5711737
0.995,LQR,1.9452652,0.6325363,3.252587
0.005,QQR,0.813762,1.007189,5.596828
0.025,QQR,1.1050631,1.27481,5.714438
0.05,QQR,1.4691895,1.602439,5.801843
0.5,QQR,6.0257465,6.138097,8.231613
0.95,QQR,3.1939828,4.767817,9.79228
0.975,QQR,2.8312962,4.396639,9.545435
0.995,QQR,2.465042,2.794746,8.040375