Quantiles,Method,AverageLoss,lower_CI,upper_CI,,,,,,,,,,,
0.005,QRF,0.05594182,,,,,,,,,,,,,
0.025,QRF,0.2124212,,,,,,,,,,,,,
0.05,QRF,0.35897917,,,,,,,,,,,,,
0.5,QRF,1.17359059,,,,,,,,,,,,,
0.95,QRF,0.41847933,,,,,,,,,,,,,
0.975,QRF,0.26243803,,,,,,,,,,,,,
0.995,QRF,0.08769079,,,,,,,,,,,,,
0.005,LQR,0.15874819,0.1221695,0.2004575,,,,,,,,,,,
0.025,LQR,0.28077706,0.2487233,0.3139674,,,,,,,,,,,
0.05,LQR,0.41238879,0.3739711,0.4576636,,,,,,,,,,,
0.5,LQR,1.63895955,1.4504065,1.7919097,,,,,,,,,,,
0.95,LQR,0.85918217,0.7398452,0.9484558,,,,,,,,,,,
0.975,LQR,0.63589022,0.5178162,0.7419582,,,,,,,,,,,
0.995,LQR,0.40594631,0.2920512,0.5115696,,,,,,,,,,,
0.005,QQR,0.11655146,0.1189002,0.2000094,,,,,,,,,,,
0.025,QQR,0.20899771,0.217131,0.3983009,,,,,,,,,,,
0.05,QQR,0.32233252,0.312148,0.4536012,,,,,,,,,,,0.2004575
0.5,QQR,1.19301164,1.143034,1.4342281,,,,,,,,,,,0.3139674
0.95,QQR,0.46526083,0.4735526,0.7590403,,,,,,,,,,,0.4576636
0.975,QQR,0.50438724,0.4395489,0.6624601,,,,,,,,,,,1.7919097
0.995,QQR,0.21766992,0.1693841,0.5224329,,,,,,,,,,,0.9484558
,,,,,,,,,,,,,,,0.7419582
,,,,,,,,,,,,,,,0.5115696