date,low_h1,high_h1,median_h1,low_h2,high_h2,median_h2,low_h4,high_h4,median_h4,actual
2007Q1,x,x,x,x,x,x,x,x,x,2.36
2007Q2,2.12,2.57,2.34,x,x,x,x,x,x,1.96
2007Q3,2.11,2.5,2.3,2.1,2.63,2.4,x,x,x,2.08
2007Q4,2,2.4,2.2,2.1,2.4,2.3,x,x,x,2.85
2008Q1,2,2.4,2.2,2.1,2.4,2.23,2,2.4,2.24,2.68
2008Q2,2,2.4,2.2,1.96,2.4,2.2,2.18,2.5,2.24,1.75
2008Q3,2.2,2.5,2.3,1.9,2.4,2.2,2.1,2.43,2.29,2.6
2008Q4,2.2,2.5,2.3,2.1,2.5,2.3,1.9,2.5,2.19,0.98
2009Q1,1.5,2.25,1.96,2,2.4,2.3,1.96,2.4,2.2,1.69
2009Q2,0.5,1.6,1.2,1.6,2.2,2.03,2.1,2.5,2.3,2.05
2009Q3,0.8,1.6,1.28,0.87,1.91,1.3,2.1,2.4,2.27,1.2
2009Q4,0.8,1.85,1.14,0.72,1.77,1.3,1.7,2.25,1.95,2.06
2010Q1,0.8,1.6,1.24,1.1,1.95,1.45,1.1,1.82,1.5,0.06
2010Q2,1,1.7,1.4,0.99,1.75,1.4,1.08,1.9,1.5,0.5
2010Q3,1,1.6,1.35,1.1,1.75,1.5,1.19,2.29,1.6,0.97
2010Q4,0.89,1.75,1.18,1.12,1.9,1.45,1.3,2,1.5,1.05
2011Q1,0.82,1.6,1.1,0.9,1.77,1.2,1.25,2,1.6,1.9
2011Q2,0.87,1.65,1.2,1,1.8,1.29,1.24,2,1.55,1.88
2011Q3,1.3,1.98,1.57,1,1.76,1.3,1.2,2,1.55,2.76
2011Q4,1.3,2.25,1.7,1.3,2.1,1.57,1.2,2,1.52,2.15
2012Q1,1.5,2.28,1.8,1.4,2.2,1.6,1.11,2,1.6,2.12
2012Q2,1.5,2.3,1.81,1.5,2.3,1.81,1.62,2.25,1.86,1.98
2012Q3,1.7,2.27,1.95,1.53,2.2,1.9,1.53,2.3,1.98,1.82
2012Q4,1.68,2.24,2,1.7,2.29,2,1.46,2.25,1.8,1.88
2013Q1,1.8,2.2,1.9,1.7,2.25,1.98,1.56,2.36,2,2.04
2013Q2,1.8,2.1,1.96,1.79,2.3,2.03,1.8,2.3,2.09,0.91
2013Q3,1.8,2.11,2,1.8,2.19,2,1.84,2.4,2.09,2.16
2013Q4,1.68,2,1.85,1.8,2.2,2,1.8,2.3,2,1.79
2014Q1,1.76,2.1,1.9,1.7,2,1.97,1.8,2.3,2.03,1.56
2014Q2,1.7,2.02,1.8,1.7,2.1,1.9,1.96,2.3,2.1,2.09
2014Q3,1.7,2.1,1.82,1.7,2.1,1.94,1.88,2.2,2,1.67
2014Q4,1.9,2.2,2.1,1.7,2.1,1.9,1.8,2.2,2,1.6
2015Q1,1.7,2.1,1.9,2,2.23,2.06,1.8,2.3,2.07,1.4
2015Q2,1.5,2,1.7,1.77,2.2,1.88,1.8,2.2,2.1,2.44
2015Q3,1.66,1.92,1.8,1.6,2,1.8,1.9,2.37,2.13,2
2015Q4,1.8,2.15,1.9,1.7,2.01,1.86,1.8,2.2,2,2.13
2016Q1,1.8,2,1.89,1.8,2.2,2,1.74,2.18,1.9,2.1
2016Q2,1.83,2,1.96,1.89,2.1,1.96,1.81,2.15,2,2.66
2016Q3,1.98,2.3,2,1.88,2.1,2,2,2.26,2.06,2.1
2016Q4,2,2.24,2.1,2,2.2,2.09,1.88,2.12,2.02,1.86
2017Q1,2,2.4,2.17,1.95,2.3,2.1,1.81,2.2,2.05,2.08
2017Q2,2.1,2.5,2.23,2,2.3,2.2,2,2.28,2.15,1.06
2017Q3,2.1,2.4,2.24,2,2.4,2.14,2.01,2.3,2.2,1.56
2017Q4,1.9,2.2,2.1,2.1,2.4,2.2,2,2.3,2.17,2.32
2018Q1,1.73,2.3,2.05,1.9,2.3,2.16,2.11,2.47,2.3,2.92
2018Q2,2,2.25,2.1,1.97,2.23,2.1,2.1,2.45,2.24,2.1
2018Q3,2.1,2.51,2.35,2,2.31,2.19,2.04,2.3,2.16,1.45
2018Q4,2.1,2.5,2.3,2.1,2.55,2.3,2,2.3,2.16,2.33
2019Q1,2.2,2.5,2.31,2.2,2.57,2.41,2.1,2.5,2.3,2.65
2019Q2,2.1,2.36,2.2,2.2,2.5,2.3,2.1,2.74,2.4,1.76
2019Q3,2,2.27,2.13,2.1,2.38,2.28,2.2,2.6,2.4,2.35
2019Q4,2,2.25,2.1,2,2.3,2.15,2.1,2.46,2.35,2.55
2020Q1,2.08,2.45,2.3,2,2.45,2.22,2.13,2.5,2.3,2.35
2020Q2,1.97,2.32,2.1,2.02,2.41,2.2,2,2.33,2.17,-2.02
2020Q3,1.06,2.08,1.5,2,2.32,2.1,1.99,2.3,2.1,3.85
2020Q4,1.01,1.97,1.46,1.33,2,1.6,2.04,2.3,2.2,2.47
2021Q1,1.46,2.1,1.8,0.99,1.91,1.55,1.9,2.34,2.2,1.55
2021Q2,1.8,2.2,2.09,1.49,2.2,2,1.3,2.06,1.8,7.1
2021Q3,1.9,2.8,2.5,1.9,2.39,2.08,1.44,2.1,1.8,5.21
2021Q4,2.1,3.04,2.53,1.97,2.5,2.26,1.71,2.1,1.9,6.32
2022Q1,2.53,3.68,2.85,2.1,2.67,2.35,2,2.24,2.1,6.7
2022Q2,2.9,4.56,3.6,2.27,3.34,2.6,2,2.5,2.2,5.87
2022Q3,3.8,5.4,4.15,2.43,3.73,3.07,2.2,2.8,2.45,6.23
2022Q4,3.5,5.1,4.6,2.9,4.5,3.5,2.14,2.8,2.42,5.11
2023Q1,3.92,5,4.5,3,4,3.7,2.3,3.1,2.52,4.92
2023Q2,3.1,4.38,3.55,3.03,4.4,3.71,2.69,3.4,2.94,4.68
2023Q3,3.2,4.2,3.6,2.7,3.52,3.12,2.74,3.38,2.84,2.99
2023Q4,2.86,3.6,3.23,2.9,3.5,3.15,2.6,3.5,2.9,3.36